total_trades,winning_trades,losing_trades,win_rate,total_pnl,avg_pnl,median_pnl,max_pnl,min_pnl,avg_return,avg_duration,avg_max_dd,max_dd,profit_factor,sharpe_ratio,tp,sl,tsl,strategy_id
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,0.3,0.7,0.7,TP30_SL70_TSL70
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,2.0,0.7,0.2,TP200_SL70_TSL20
1,0,1,0.0,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,1920,10.011419973415425,10.011419973415425,0.0,0,3.0,0.1,0.1,TP300_SL10_TSL10
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,0.2,0.5,1.0,TP20_SL50_TSL100
1,0,1,0.0,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,1920,10.011419973415425,10.011419973415425,0.0,0,1.0,0.7,0.1,TP100_SL70_TSL10
1,0,1,0.0,-5.240311632387986,-5.240311632387986,-5.240311632387986,-5.240311632387986,-5.240311632387986,-5.240311632387986,9720,13.234576874275797,13.234576874275797,0.0,0,0.2,0.3,0.15,TP20_SL30_TSL15
1,0,1,0.0,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,60,5.015526777081862,5.015526777081862,0.0,0,3.0,0.05,1.0,TP300_SL5_TSL100
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,1.0,0.2,0.7,TP100_SL20_TSL70
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,0.2,0.7,0.3,TP20_SL70_TSL30
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,0.7,0.2,1.0,TP70_SL20_TSL100
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,0.7,0.2,0.7,TP70_SL20_TSL70
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,0.3,0.2,0.2,TP30_SL20_TSL20
1,0,1,0.0,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,60,5.015526777081862,5.015526777081862,0.0,0,1.0,0.05,0.05,TP100_SL5_TSL5
