ts,o,h,l,c,v
1759437900,7.382503220273659e-05,8.154248215622346e-05,7.382503220273659e-05,7.799156495919417e-05,9290.350008284242
1759437840,7.429761814142189e-05,8.32451314265329e-05,7.30419879559843e-05,7.382503220273659e-05,10472.003941810022
1759437780,7.518227277757538e-05,8.219917136580546e-05,7.429761814142189e-05,7.429761814142189e-05,8074.921404926857
1759437720,7.508286185390656e-05,8.386472723641216e-05,7.435296454030985e-05,7.518227277757538e-05,10028.385328134762
1759437660,7.340351208710479e-05,8.214435713215576e-05,7.049755363238759e-05,7.508286185390656e-05,10338.090708473277
1759437600,7.152171246028068e-05,7.764928336558104e-05,6.648314768143961e-05,7.340351208710479e-05,9176.530759093586
1759437540,7.29340701832255e-05,7.560872194112988e-05,6.807710854061351e-05,7.152171246028068e-05,9656.054432299565
1759437480,6.829280642642312e-05,7.567435221498767e-05,6.829280642642312e-05,7.29340701832255e-05,9709.696516173939
1759437420,7.496240289689374e-05,7.591727561334948e-05,6.76980514121141e-05,6.829280642642312e-05,8016.439366299927
1759437360,6.718649701579034e-05,7.560058453263674e-05,6.718649701579034e-05,7.496240289689374e-05,9594.035964192799
1759437300,6.766892566912939e-05,7.217184542495451e-05,6.228852014867506e-05,6.718649701579034e-05,9189.22249965324
1759437240,6.574671884963482e-05,6.82779833073129e-05,6.0991858769179384e-05,6.766892566912939e-05,8675.0415426754
1759437180,6.587755069222142e-05,6.928626004657184e-05,6.097680548256601e-05,6.574671884963482e-05,9854.770160328293
1759437120,7.549654532171152e-05,8.110758836748168e-05,6.192927474145887e-05,6.587755069222142e-05,10045.704870152336
1759437060,7.823030324572774e-05,8.435410282496817e-05,7.549654532171152e-05,7.549654532171152e-05,10291.999577231969
1759437000,6.97277667805492e-05,8.3690461761823e-05,6.882107519074668e-05,7.823030324572774e-05,9174.671600952903
1759436940,8.008706162557177e-05,8.013478809781658e-05,6.772267759599537e-05,6.97277667805492e-05,10295.481823936489
1759436880,7.787155841683969e-05,8.617172363627797e-05,7.460147432620884e-05,8.008706162557177e-05,10147.807136682351
1759436820,8.73434429143587e-05,8.807777359501834e-05,7.671254369288242e-05,7.787155841683969e-05,8793.46750377365
1759436760,8.992053184829234e-05,9.775837624693122e-05,8.090430649780183e-05,8.73434429143587e-05,10263.703387589896
1759436700,0.00010311196411731803,0.00011229179121551685,8.98227686238898e-05,8.992053184829234e-05,10985.454979464712
1759436640,9.550965749501471e-05,0.00012100607698968463,9.381195880529287e-05,0.00010311196411731803,9880.67123560229
1759436580,0.00010287604074730985,0.00010828400503225193,9.442384619702539e-05,9.550965749501471e-05,10083.148343731486
1759436520,0.00011286237638963229,0.00011684254639866543,0.00010177313621622756,0.00010287604074730985,10272.909688603926
1759436460,0.0001145286156922118,0.00012212039428262527,0.00010925088377787505,0.00011286237638963229,4068.612531744152
1759436400,0.00011763946218762092,0.00011763946218762092,0.0001145286156922118,0.0001145286156922118,164.42840530892622
1759436340,0.00011911349591169991,0.00011911349591169991,0.00011763946218762092,0.00011763946218762092,97.33366919023163
1759436280,0.00011911349591169991,0.00011911349591169991,0.00011855664032741732,0.00011911349591169991,5.116263421280114
1759436160,0.00010872031733779777,0.00011066637742166544,0.00010872031733779777,0.00011066637742166544,191.30897560827609
1759436100,0.00011139094416304678,0.00011139094416304678,0.00010872031733779777,0.00010872031733779777,108.85587396843701
1759436040,0.00011169736160663161,0.00011323776982859888,0.00011139094416304678,0.00011139094416304678,323.69177525284886
1759435980,0.00011207885827324193,0.00011207885827324193,0.00011169736160663161,0.00011169736160663161,43.93669099613811
1759435920,0.00011710937988824249,0.00011710937988824249,0.00011207885827324193,0.00011207885827324193,262.0701283223564
1759435860,0.00012012537835202674,0.00012012537835202674,0.00011645761520798448,0.00011710937988824249,259.23603247080626
1759435740,0.00012074177780911229,0.00012074177780911229,0.00012012537835202674,0.00012012537835202674,2.3117922741302706
